2025-07-10 15:18:19,804 - INFO - Starting raw disk scan of D:\
2025-07-10 15:18:19,804 - INFO - Performing file system scan of D:\
2025-07-10 15:18:21,740 - INFO - Recovered file: recovered_000066_20250710_151821.zip (ZIP Archive/Office Document, 2772357 bytes)
2025-07-10 15:18:21,757 - INFO - Recovered file: recovered_000067_20250710_151821.xlsx (Unknown File Type, 2772537 bytes)
2025-07-10 15:18:21,779 - INFO - Recovered file: recovered_000068_20250710_151821.xlsx (Unknown File Type, 2772537 bytes)
2025-07-10 15:18:21,810 - INFO - Recovered file: recovered_000069_20250710_151821.xlsx (Unknown File Type, 2772537 bytes)
2025-07-10 15:18:21,840 - INFO - Recovered file: recovered_000070_20250710_151821.zip (ZIP Archive/Office Document, 2773161 bytes)
2025-07-10 15:18:21,866 - INFO - Recovered file: recovered_000071_20250710_151821.zip (ZIP Archive/Office Document, 2767218 bytes)
2025-07-10 15:18:21,872 - INFO - Recovered file: recovered_000072_20250710_151821.zip (ZIP Archive/Office Document, 48374 bytes)
2025-07-10 15:18:21,880 - INFO - Recovered file: recovered_000073_20250710_151821.zip (ZIP Archive/Office Document, 47945 bytes)
2025-07-10 15:18:21,880 - INFO - Recovered file: recovered_000074_20250710_151821.zip (ZIP Archive/Office Document, 47946 bytes)
2025-07-10 15:18:21,896 - INFO - Recovered file: recovered_000075_20250710_151821.zip (ZIP Archive/Office Document, 47946 bytes)
2025-07-10 15:18:21,896 - INFO - Recovered file: recovered_000076_20250710_151821.tmp (Unknown File Type, 47945 bytes)
2025-07-10 15:18:21,912 - INFO - Recovered file: recovered_000077_20250710_151821.zip (ZIP Archive/Office Document, 2781295 bytes)
2025-07-10 15:18:21,946 - INFO - Recovered file: recovered_000078_20250710_151821.zip (ZIP Archive/Office Document, 2772357 bytes)
2025-07-10 15:18:21,969 - INFO - Recovered file: recovered_000079_20250710_151821.zip (ZIP Archive/Office Document, 2767218 bytes)
2025-07-10 15:18:21,989 - INFO - Recovered file: recovered_000080_20250710_151821.zip (ZIP Archive/Office Document, 2785200 bytes)
2025-07-10 15:18:22,016 - INFO - Recovered file: recovered_000081_20250710_151822.zip (ZIP Archive/Office Document, 2781542 bytes)
2025-07-10 15:18:22,039 - INFO - Recovered file: recovered_000082_20250710_151822.zip (ZIP Archive/Office Document, 2781265 bytes)
2025-07-10 15:18:22,072 - INFO - Recovered file: recovered_000083_20250710_151822.zip (ZIP Archive/Office Document, 2781354 bytes)
2025-07-10 15:18:22,106 - INFO - Recovered file: recovered_000084_20250710_151822.zip (ZIP Archive/Office Document, 2781296 bytes)
2025-07-10 15:18:22,146 - INFO - Recovered file: recovered_000085_20250710_151822.TMP (Unknown File Type, 2772537 bytes)
2025-07-10 15:18:22,206 - INFO - Recovered file: recovered_000086_20250710_151822.zip (ZIP Archive/Office Document, 2781326 bytes)
2025-07-10 15:18:22,248 - INFO - Recovered file: recovered_000087_20250710_151822.zip (ZIP Archive/Office Document, 2781295 bytes)
2025-07-10 15:18:22,300 - INFO - Recovered file: recovered_000088_20250710_151822.TMP (Unknown File Type, 2781438 bytes)
2025-07-10 15:18:22,349 - INFO - Recovered file: recovered_000089_20250710_151822.zip (ZIP Archive/Office Document, 2781297 bytes)
